id,letter
1,а
2,б
3,в
4,г
5,д
6,е
7,ё
8,ж
9,з
10,и
11,й
12,к
13,л
14,м
15,н
16,о
17,п
18,р
19,с
20,т
21,у
22,ф
23,х
24,ц
25,ч
26,ш
27,щ
28,ъ
29,ь
30,|
31,э
32,ю
33,я
44,а
45,б
46,в
47,г
48,д
49,е
50,ё
51,ж
52,з
53,и
54,й
55,к
56,л
57,м
58,н
59,о
60,п
61,р
62,с
63,т
64,у
65,ф
66,х
67,ц
68,ч
69,ш
70,щ
71,ъ
72,ь
73,|
74,э
75,ю
76,я
87,а
88,б
89,в
90,г
91,д
92,е
93,ё
94,ж
95,з
96,и
97,й
98,к
99,л
100,м
101,н
102,о
103,п
104,р
105,с
106,т
107,у
108,ф
109,х
110,ц
111,ч
112,ш
113,щ
114,ъ
115,ь
116,|
117,э
118,ю
119,я
130,а
131,б
132,в
133,г
134,д
135,е
136,ё
137,ж
138,з
139,и
140,й
141,к
142,л
143,м
144,н
145,о
146,п
147,р
148,с
149,т
150,у
151,ф
152,х
153,ц
154,ч
155,ш
156,щ
157,ъ
158,ь
159,|
160,э
161,ю
162,я
173,а
174,б
175,в
176,г
177,д
178,е
179,ё
180,ж
181,з
182,и
183,й
184,к
185,л
186,м
187,н
188,о
189,п
190,р
191,с
192,т
193,у
194,ф
195,х
196,ц
197,ч
198,ш
199,щ
200,ъ
201,ь
202,|
203,э
204,ю
205,я
